ID,USERNAME,FIRSTNAME,LASTNAME,PASSWORD,TRADERTYPE
1,SR4,SERGIO,RAMOS,1234,C
2,AS13,ANUSHKA,SHRIVASTAVA,2347,T
3,LM10,LEO,MESSI,3456,C
4,RL9,ROBERT,LEWANDOSKI,4567,C
5,GB11,GARETH,BALE,5678,C
6,RS12,RAHUL,SAHANI,6789,T
7,CR7,CRIS,RONALDO,2345,C
8,SC14,SIDDHI,CHOUDHARY,9776,T
9,EH30,EDEN ,HAZARD,357643,C
10,MT59,MARCO,TERSTEGAN,746476,C
11,GS18,GHANENDRA,SHRIVASTAVA,56904,T
12,NJ202,NEYMAR,JUNIOR,5947836,C
13,HR20,HEMANT,ROBBI,54798,T
14,MR21,MARCUS,RASHFORD,457359,C
15,KM29,KYLIAN,MBAPPE,345456,C
16,PK15,PAVAN,KRISHNA,348570,T
17,MA22,MARCO,ASENSIO,23435487,C
18,AM79,ANTHONY,MARTIAL,26845395,C
19,KC19,KRISHNA,CHANGALANI,5660,T
20,PC67,PHILIPPE,COUTINHO,5603498,C
21,GB45,GIANLUIGI,BUFFON,4386455,C
